PolyID,MeanSite
1,7
2,16.5714285714286
3,27.7857142857143
4,25
6,34.5
5,31
7,35.6666666666667
8,5.375
10,1
9,1
11,1
12,1
13,9.5
14,4.58928571428571
15,6.46875
16,3
17,3
18,3
19,3
20,6.65
21,3
22,5.6
23,19.7142857142857
24,23
25,22.5
26,23.3478260869565
28,8.35
27,35.5
32,2.30588235294118
30,3.7
29,4
33,1.23188405797101
31,1
36,1.64545454545455
37,1.18518518518519
35,1.375
39,1.2258064516129
34,1
38,8.5
40,6
41,4.7
42,7
43,7
49,3.48031496062992
45,9.8421052631579
44,25
47,1.04166666666667
46,2
66,5.32307692307692
51,1.04545454545455
48,4
50,3.10526315789474
71,3.42857142857143
69,3
53,2.62962962962963
52,2
56,3.45238095238095
54,8
55,3
57,2
58,2
59,1
62,1.04166666666667
60,2
61,1
79,1.84536082474227
63,16.8461538461538
64,1
65,1
67,3
68,3
70,4.2
84,1.91162790697674
72,3
73,1
80,3.84328358208955
74,5
75,3
76,3
77,1
78,1.26470588235294
81,3
82,13
83,1.55555555555556
85,7
86,1
87,1.83333333333333
95,1.32740213523132
88,1.58333333333333
89,1
90,1
91,1
92,1
93,1.26865671641791
94,22.830985915493
96,3.86046511627907
103,3.77777777777778
107,1
98,1
97,1
101,8.375
99,3
104,1
100,3
102,3
105,13.5
106,1
112,5.76470588235294
108,2
109,1
110,1
111,1
114,1.53714285714286
115,6.34177215189873
113,3.625
116,6.49264705882353
118,3.71153846153846
117,1
119,3.53488372093023
128,2.65882352941176
124,43.9285714285714
121,6.27777777777778
120,2
122,2.66666666666667
126,10.5769230769231
123,2.6
125,5.42857142857143
127,3.86666666666667
131,26.5593220338983
129,3
133,3
134,7.85
130,7.125
132,9.04651162790698
135,2.62790697674419
136,3
137,1.33333333333333
140,3
138,3
139,3
141,16.5833333333333
142,18.5
144,3
143,17.4
145,26.5
146,3
150,3
147,26.6
149,3
148,27
151,4.8448275862069
159,20.5244755244755
152,10.75
153,16.25
154,1
155,30
157,1.625
156,28
163,3
158,5.2
167,9.06744868035191
160,3
161,4.83333333333333
168,4.60638297872341
162,3
164,3
165,6
166,14.2857142857143
169,5
172,4.24607329842932
170,3.5
171,10
175,11.1739130434783
181,3.12105263157895
173,3
174,3
176,2.14754098360656
179,7.5952380952381
177,3
178,3
180,9
183,5.72340425531915
182,5.5
185,5.1
184,16.6
186,3
187,3
189,8.66666666666667
188,10
203,3.49744897959184
190,3
191,18
192,3
212,5.5655737704918
193,3
194,3
195,3
196,3
197,1
199,3
198,1
200,1.64285714285714
201,3
202,3
204,3
205,3
206,2
209,3
207,3
208,1
210,2.4
211,3
213,4.8
214,10
215,9.3
216,2
217,1
221,1.88461538461538
218,1
219,1
220,6
222,1
224,5.28571428571429
223,1.375
228,3.81818181818182
225,5.375
227,2.61538461538462
226,10
229,1.07142857142857
232,9.52380952380952
230,3
231,3
241,2.50925925925926
233,5.37037037037037
235,5.5
239,14.1470588235294
234,3
236,3
237,3
240,3
238,1
242,16.9154929577465
244,2.27906976744186
243,8
249,3.89189189189189
245,2.33333333333333
246,2
247,1
248,1
250,7.66666666666667
253,16.1071428571429
251,6
252,1
254,27.5555555555556
277,3.04285714285714
255,3
256,3
270,1.9016393442623
259,7.23529411764706
268,5.5
257,4
258,3
260,1
261,1
266,1.2
262,3
263,3
264,3
269,5.68181818181818
265,12
267,5.1
271,1
272,6
273,1
274,2.5
275,6
278,1.66666666666667
276,6
279,1
280,1.70588235294118
281,2.59649122807018
283,8.8
282,6.2
284,6.15384615384615
285,4.1875
286,4.875
287,5
288,5
289,4.4
290,5
291,3
293,3
292,3
294,3
561,4.82106060606061
295,3
298,6.93023255813954
301,3
296,6
297,3
299,7.91666666666667
300,3
302,3
303,1
304,1
308,3
305,4
306,4.97916666666667
335,3.10264900662252
310,4
309,4.14285714285714
307,3.66666666666667
311,6
312,5
314,11.7142857142857
313,6
318,3.2
315,5
316,3
317,3
319,3
320,4
321,7.33333333333333
322,4
323,4
325,3.88888888888889
334,2.04901960784314
326,3
324,3
333,2
332,3
327,3
328,4
331,3.25
329,3
330,3
355,3.15839243498818
336,3
337,4
338,5
340,2
339,4.66666666666667
341,3
342,2.61538461538462
343,4
349,3.9375
352,7.35971223021583
344,4.5
345,3
346,5
347,4
348,3
350,4.6
354,3.2
445,4.91755153029357
351,3
795,12.9205794523159
353,3
356,3
357,13.7142857142857
358,14
359,15
360,11
361,11
362,8
363,3.33333333333333
364,3
365,6
366,2
367,3
370,32.4
368,33.5
369,3
371,3
373,35.7037037037037
372,3
374,9
375,7
376,4
377,4
388,6.66379310344828
380,2.5
378,7
379,7
381,7.2
382,3
383,11
384,10
385,3
386,3
387,6
393,10.6296296296296
389,5
390,4.9
391,3
392,7
395,3
394,4
396,3
397,9
398,9
399,4
400,5.2
401,3
402,4
485,5.3515625
403,3
417,3.35294117647059
407,3
406,6.16666666666667
404,5
405,2
408,10
416,12.9333333333333
409,4
426,3
410,6
427,7.125
411,6
413,8.57142857142857
412,4
414,10
419,4.41666666666667
421,4.21212121212121
415,3
418,5
434,3
420,5
422,10
423,10
424,3
428,11.2857142857143
429,3
425,5
431,5.5
430,3
478,3.03598971722365
439,9.8
432,3
433,8
440,3
441,3.46153846153846
435,5
436,6
437,6.33333333333333
447,3
446,2
438,8
443,4.66666666666667
442,9
451,3.29411764705882
444,3.5
460,3.34545454545455
448,7
456,2.22222222222222
449,5
461,3
454,8.8
479,8.81034482758621
450,3
452,3
453,3
455,5
457,3
458,3
469,7.40740740740741
483,6.3125
462,3
459,5
465,3
464,6.4
463,7
480,7.3125
466,10
467,13
468,17.5
473,3
470,3
471,10
472,3
482,3
474,3
489,3
496,4.58620689655172
475,16
476,3
477,16.25
481,8.66666666666667
484,24
486,4
487,24
488,3
490,6.18181818181818
491,5
492,5
493,3
494,3
495,18
497,8
498,7
499,3
511,8
500,3
501,6
502,3
503,12
514,3
504,3
505,10.3333333333333
510,5
506,3
507,2
519,3.36585365853659
508,5
531,12.3650793650794
509,7
512,6
521,17.6428571428571
513,21.5
563,5.34420289855073
515,3
516,3
517,3
518,3
530,3
522,3
525,5.2
520,2
526,3
532,14.4193548387097
523,3
524,3
529,3
527,6
528,3
534,3
533,3.2
536,3
535,2
537,3
538,5
539,4
540,3
541,3
542,5
545,11.2
551,22.625
543,3
544,4
546,20
547,3
550,4.9
548,5
549,3.33333333333333
600,2.65919282511211
552,8
553,18
554,21
555,6
556,5.5
557,7
558,2.5
559,7
572,3
560,8
562,3
592,2.25352112676056
566,3
564,3
565,3
576,8.25
567,2
568,3
569,8
570,3
571,2
573,3
578,3
589,3.09876543209877
574,6.5
580,7.64285714285714
598,4.09302325581395
575,7
577,3
581,4.8
579,2.5
593,4.47619047619048
582,4
583,3.66666666666667
584,7.75
591,5.55882352941176
585,2
586,3
687,2.89302769818529
587,7
590,2.46153846153846
588,3
603,2.76271186440678
596,2.77777777777778
594,3
595,3
597,9
599,5
601,11
604,0
620,10.4732824427481
602,9.33333333333333
605,11.9
638,3.91025641025641
614,14.390243902439
606,14
607,1
608,1
609,18
611,3
610,0
612,1.7741935483871
613,17.3333333333333
615,7
616,20
617,4
618,22.6666666666667
619,4
621,9
626,6.375
622,5
623,18.5
624,8
625,5
627,9
628,7
629,5
630,4
631,5
632,3
650,4.40963855421687
633,5
634,3
637,7
635,5
636,3
639,6
640,4
662,3.42735042735043
641,3
642,3
643,22
644,5
646,4.27272727272727
645,23
653,2.88888888888889
647,17.3333333333333
648,16
651,17
649,16
652,15.5
654,7
655,14.8571428571429
656,3
682,9.21686746987952
657,17
658,19
659,31
660,14
673,8.256
661,13
664,3.5
663,11.3333333333333
668,7.5
665,3
666,7
669,4.75
667,13.6666666666667
670,1
671,7
675,2.2
677,1.33333333333333
672,18
681,6.35294117647059
674,2
676,3
678,15
679,5
680,2
683,15.3333333333333
684,3
685,3.6
686,4
688,4.4
697,5.93333333333333
689,3
690,8
693,2.5
691,1
692,2
694,4
695,5.5
704,6.8804347826087
696,2
708,2.53571428571429
698,9.625
699,5
700,9
703,3.11111111111111
701,19
