PolyID,Height
1,28
2,31.8571428571429
3,34
4,34
6,25
5,33
7,33
8,29
10,25
9,25
11,25
12,25
13,29
14,29
15,15
16,25
17,25
18,25
19,25
20,25
21,25
22,25
23,33
24,33
25,33
26,33
28,25
27,33
32,25
30,25
29,25
33,25
31,25
36,25
37,25
35,25
39,25
34,25
38,25
40,25
41,25
42,25
43,25
49,16
45,25
44,25
47,25
46,25
66,25
51,25
48,16
50,16
71,16
69,25
53,25
52,25
56,16
54,25
55,25
57,25
58,25
59,25
62,25
60,25
61,25
79,25
63,33
64,25
65,25
67,25
68,25
70,16
84,25
72,25
73,25
80,25
74,16
75,25
76,25
77,25
78,25
81,25
82,25
83,25
85,25
86,25
87,25
95,25
88,25
89,25
90,25
91,25
92,25
93,25
94,33
96,25
103,25
107,25
98,25
97,25
101,25
99,25
104,25
100,25
102,25
105,25
106,25
112,25
108,25
109,25
110,25
111,25
114,25
115,27.6455696202532
113,25
116,25
118,25
117,25
119,25
128,25
124,25
121,25
120,25
122,25
126,25
123,25
125,25
127,25
131,25
129,25
133,25
134,25
130,25
132,25
135,25
136,25
137,25
140,25
138,25
139,25
141,33
142,33
144,25
143,33
145,32
146,25
150,25
147,34
149,25
148,34
151,25
159,32.4685314685315
152,25
153,25
154,25
155,33
157,25
156,32
163,25
158,25
167,25
160,25
161,25
168,25
162,25
164,25
165,25
166,25
169,25
172,18.9921465968586
170,25
171,25
175,25
181,25
173,25
174,25
176,25
179,29
177,25
178,25
180,29
183,29
182,25
185,25
184,29
186,25
187,25
189,25
188,25
203,25
190,25
191,29
192,25
212,27.2295081967213
193,25
194,25
195,25
196,25
197,25
199,25
198,25
200,25
201,25
202,25
204,25
205,25
206,25
209,25
207,25
208,25
210,25.4
211,25
213,25
214,25
215,25
216,25
217,25
221,25
218,25
219,25
220,25
222,25
224,25
223,25
228,25
225,25
227,25
226,25
229,25
232,25
230,25
231,25
241,25
233,25
235,25
239,31
234,25
236,25
237,25
240,25
238,25
242,31
244,25
243,25
249,25
245,25
246,25
247,25
248,25
250,25
253,25
251,25
252,25
254,35
277,25.0642857142857
255,25
256,25
270,25
259,29
268,29
257,29
258,29
260,25
261,25
266,25
262,29
263,31
264,29
269,29
265,29
267,26
271,25
272,26
273,25
274,25
275,26
278,25
276,26
279,25
280,25
281,25
283,33
282,25
284,25
285,25
286,28
287,28
288,28
289,26
290,26
291,25
293,25
292,25
294,25
561,27.4
295,25
298,29
301,25
296,29
297,25
299,25
300,25
302,25
303,25
304,26
308,25
305,25
306,25
335,25
310,25
309,25
307,25
311,25
312,32
314,32
313,25
318,25
315,25
316,25
317,25
319,25
320,25
321,32
322,25
323,25
325,26.8333333333333
334,25
326,25
324,25
333,25
332,25
327,25
328,25
331,25
329,25
330,25
355,25
336,25
337,25
338,25
340,25
339,25
341,25
342,25
343,25
349,25
352,29
344,25
345,25
346,25
347,25
348,25
350,25
354,25
445,26.3116801998751
351,25
795,29.0686193531991
353,25
356,25
357,25
358,25
359,25
360,25
361,25
362,25
363,25
364,25
365,25
366,25
367,25
370,31.5
368,34
369,25
371,25
373,32.8148148148148
372,25
374,29
375,29
376,25
377,25
388,29
