PolyID,Volumne
1,25
2,110.857142857143
3,106
4,106
6,38
5,51
7,51
8,39
10,29
9,29
11,29
12,29
13,39
14,39
15,1
16,29
17,29
18,29
19,29
20,29
21,29
22,28
23,128
24,128
25,128
26,128
28,21
27,128
32,28.8588235294118
30,28
29,29
33,27
31,27
36,27
37,28
35,27
39,27
34,27
38,29
40,29
41,29
42,29
43,29
49,7.80314960629921
45,28
44,28
47,28
46,28
66,28.5
51,24
48,8
50,8
71,8
69,29
53,26
52,26
56,9
54,28
55,29
57,28
58,29
59,28
62,28
60,29
61,28
79,28
63,41
64,28
65,28
67,29
68,29
70,8
84,28
72,29
73,28
80,26
74,8
75,29
76,29
77,27
78,27
81,26
82,28
83,28
85,26.7142857142857
86,28
87,28
95,28.1743772241993
88,28
89,28
90,28
91,28
92,28
93,27
94,68
96,27
103,27
107,28
98,28
97,28
101,28
99,29
104,28
100,29
102,29
105,28
106,28
112,28
108,28
109,28
110,28
111,28
114,28
115,41.2278481012658
113,27.875
116,27
118,29
117,27
119,31
128,28
124,29
121,24
120,31
122,31
126,29
123,29
125,29
127,27
131,29
129,29
133,28
134,29
130,29
132,26
135,29
136,28
137,29
140,27
138,29
139,27
141,58
142,58
144,30.5217391304348
143,58
145,51
146,29
150,29
147,79
149,29
148,79
151,25
159,56.6363636363636
152,25
153,25
154,27
155,57
157,29.75
156,58
163,29
158,25
167,26
160,28
161,25
168,25
162,25
164,25
165,26
166,26
169,25
172,15.2486910994764
170,26
171,24
175,24
181,12.6263157894737
173,31
174,31
176,27
179,40.6666666666667
177,8
178,25
180,41
183,39
182,24
185,25
184,39
186,26
187,26
189,25
188,25
203,25
190,25
191,48
192,25
212,37.2622950819672
193,26
194,26
195,27
196,25
197,29
199,26
198,29
200,29
201,25
202,27
204,27
205,25
206,27
209,27
207,25
208,29
210,31.7333333333333
211,27
213,25
214,25
215,25
216,28
217,28
221,28
218,28
219,28
220,25
222,27
224,28
223,33
228,28
225,28
227,28
226,25
229,25
232,25
230,28
231,28
241,30
233,27
235,27
239,48
234,27
236,27
237,30
240,27
238,30
242,48.112676056338
244,26.093023255814
243,26
249,34
245,24
246,24
247,30.5
248,33
250,20
253,20
251,20
252,28
254,71
277,30.4785714285714
255,29
256,29
270,27.016393442623
259,54
268,54
257,56
258,56
260,27
261,27
266,31
262,54
263,48
264,54
269,54.2727272727273
265,54
267,35
271,27
272,35
273,27
274,27
275,35
278,30.5897435897436
276,35
279,28
280,28
281,27.1754385964912
283,74.2
282,18
284,20
285,21
286,28
287,28
288,28
289,26
290,26
291,26
293,26
292,26
294,26
561,35.7283333333333
295,26
298,41
301,27
296,41
297,27
299,36.9166666666667
300,26
302,26
303,28
304,28
308,30
305,37
306,26
335,26
310,34
309,26
307,26
311,26
312,58
314,67
313,26
318,27
315,26
316,26
317,26
319,26
320,26
321,60
322,26
323,26
325,44
334,23.9019607843137
326,26
324,26
333,23.1851851851852
332,25
327,26
328,26
331,26
329,26
330,26
355,26
336,25
337,26
338,26
340,26
339,26
341,25
342,25
343,26
349,26
352,41
344,26
345,26
346,26
347,26
348,26
350,26
354,26
445,30.9194253591505
351,26
795,42.4605756401296
353,26
356,26
357,26
358,26
359,26
360,26
361,26
362,26
363,26
364,25
365,26
366,26
367,25
370,63.5
368,82
369,25
371,25
373,70.7407407407408
372,25
374,40
375,41
376,26
377,26
388,41.0603448275862
380,25
378,42
379,42
381,42
382,26
383,61
384,29.3333333333333
385,29
386,29
387,26
393,41
389,28
390,26
391,26
392,41
395,26
394,35
396,26
397,41
398,41
399,35
400,23.2
401,26
402,23
485,31.47890625
403,25
417,26
407,25
406,29
404,26
405,25
408,11
416,51
409,39
426,26
410,26
427,36.625
411,26
413,41.5714285714286
412,32
414,43
419,32
421,27.9090909090909
415,41
418,32
434,26
420,26
422,43
423,43
424,41
428,51
429,26
425,26
431,26
430,26
478,26
439,43.48
432,26
433,26
440,35
441,25.7692307692308
435,26
436,26
437,26
447,26
446,23
438,42
443,26
442,42
451,32
444,26
460,26
448,26
456,25.3333333333333
449,38
461,26
454,26
479,41.9195402298851
450,35
452,26
453,26
455,35
457,26
458,26
469,39
483,36.03125
462,26
459,35
465,26
464,36
463,26
480,28
466,52
467,42
468,59
473,26
470,26
471,52
472,26
482,26
474,26
489,26
496,31.3275862068966
475,35
476,26
477,35
481,36
484,29
486,26
487,29
488,26
490,29
491,26
492,26
493,26
494,26
495,60
497,42
498,41
499,27
511,40.4418604651163
500,23
501,25
502,33
503,42
514,29
504,33
505,26
510,19
506,33
507,23
519,30.609756097561
508,33
531,43.5238095238095
509,26
512,33
521,74
513,58
563,33.6123188405797
515,29
516,29
517,29
518,26
530,26
522,29
525,36.4
520,26
526,26
532,61
523,36
524,26
529,29
527,39
528,29
534,26
533,32
536,29
535,26
537,26
538,29
539,29
540,32
541,41
542,29
545,41
551,64
543,32
544,41
546,64
547,26
550,39
548,41
549,26
600,39.0224215246637
552,41
553,26
