PolyID,MeanSite
2,10.3928571428571
1,10
3,11
6,13.9178082191781
4,14
5,14
7,13
8,18
11,13.9411764705882
9,27
10,29
12,9.16666666666667
13,30
14,17.0769230769231
18,11.5961538461538
17,18.3125
15,19
16,18
28,7.64383561643836
19,8
20,11
21,18
25,11.3333333333333
22,14
23,13
24,12
26,17
29,17.7777777777778
27,18
30,13.6842105263158
31,16
33,15.1428571428571
43,10.2037037037037
32,7
34,5
36,8
35,7.93333333333333
37,3
38,16
39,13
40,17.125
41,6
42,35.5
44,24.6666666666667
45,14
46,11.2
47,7
48,7
52,5.58823529411765
73,43.42
49,45
59,61.3529411764706
50,18
51,7
53,58.6
54,37
55,18
56,10
57,38
58,39
60,10
64,46.6
62,10.3333333333333
61,37
63,53
65,51.5
66,32
110,41.9489795918367
67,8
82,41.4949494949495
68,26
113,38.1410256410256
69,30.5
70,30.5
71,51.3333333333333
72,55
74,55
75,7
80,39.1333333333333
76,42
141,52.1166666666667
81,31.7777777777778
77,37
85,7.11538461538462
397,29.8166007905138
78,37
79,30
83,50
88,43.4285714285714
84,7
107,46.9285714285714
124,39.7142857142857
103,41.2777777777778
92,13
86,24
87,45
89,20
90,45
91,42
96,44
93,18
94,45
95,56
97,44
98,19.3333333333333
99,45
108,42
100,44
101,7
111,14
102,42
104,43
112,14
105,21
406,26.7172582619339
106,25
116,39.1428571428571
109,20
114,35.1818181818182
120,12.2
115,34
117,13.6666666666667
139,13.9545454545455
118,14
119,35
123,44
121,40
126,39.0588235294118
274,65.4154351395731
122,53
199,39.2181818181818
125,28.5
328,71.058562555457
138,38.1428571428572
140,46.7142857142857
127,49
128,65
129,17.5
130,54
131,37
132,48
162,7.09756097560976
133,23
142,22.452380952381
198,40.3823529411765
145,16.5833333333333
216,30.2105263157895
134,48
135,44
136,43
137,28
170,21.4857142857143
143,17.32
144,26.3333333333333
146,56
147,34.5714285714286
148,24.5
204,37.359375
149,17
183,27.8936170212766
164,23.3333333333333
150,39.2702702702703
151,54.5
152,48.6666666666667
153,42
154,37.1666666666667
155,39
156,53
244,35.4385964912281
157,39.5
158,23
209,36.4710144927536
196,45.8823529411765
261,23.1232876712329
366,19.8325991189427
159,24
160,39.3333333333333
161,14
1728,29.8356386612022
163,41
165,23
166,37
167,42
197,13.9
168,20
169,29
174,61
185,36.6
171,43
172,42
173,34.6666666666667
260,17.22
175,17
200,25.6296296296296
176,36
177,37
178,54
179,44
180,44
213,14.0654205607477
399,29.6943396226415
271,7.42465753424658
181,11
259,17.0185185185185
182,41
184,27
224,29.8333333333333
186,41
202,54.1363636363636
324,43.7164179104478
187,26
188,22
201,32.4615384615385
211,36.875
189,54.5
190,29
191,38
192,37
193,40
194,64.75
195,26.5
203,60.1818181818182
205,26
206,7
210,43.4285714285714
207,64
208,38.6666666666667
212,22.5
214,32
400,32.8651399491094
353,15.5991471215352
215,32
223,30.4
217,58.6666666666667
218,25
219,14
573,14.1122071516646
220,29
221,38
222,42
272,32.3888888888889
450,47.8540772532189
225,48.2941176470588
226,50
227,28
228,14
229,11
243,57.1428571428572
230,44
231,23
262,29.7368421052632
232,47
233,64
1103,24.0371530886303
242,44.5
234,39
270,22.4090909090909
235,29.25
236,18
264,25.6315789473684
237,44.5
238,59
239,56.75
240,68
241,33.3333333333333
263,33.9111111111111
283,53.6792452830189
245,43
246,23
398,10.7826086956522
247,24
248,27
249,30
250,29
251,23
252,22
253,19
390,32.6894409937888
266,59.3
265,66.6666666666667
254,67.5
268,4
367,44.7096774193548
255,29
275,13.8571428571429
256,21
315,29.7142857142857
257,69
267,36
258,43
269,30.3333333333333
277,29.4285714285714
273,18
296,48.75
372,12.6989247311828
276,16
278,34.25
279,21.375
280,45
281,47
282,36
284,53
285,32
286,6
287,10
288,39
289,37
290,49
291,47
327,19.9722222222222
292,8
293,10
300,10
294,34
295,72
336,48.2
297,38
304,32.8888888888889
298,43
311,49.1
341,32.8571428571429
299,10
301,34
302,48
303,41
305,39
306,36
325,6.47058823529412
307,33
418,48.3636363636364
308,40
309,43
310,33
312,32
313,23
314,11
316,42
317,40
318,48
339,54.5806451612903
319,53.5
326,31.6
320,20
331,19
321,10
322,53
323,37
329,40
330,23
332,17
333,51
334,56.4
335,24.5
337,54
338,37
340,60
409,28.824
385,10
342,10
343,47
344,44.75
345,61.6666666666667
359,41
346,65
347,42
446,8.35294117647059
348,26
