PolyID,Height
2,29
1,29
3,29
6,26
4,26
5,26
7,26
8,33
11,26
9,33
10,33
12,33
13,33
14,34.7692307692308
18,36.6538461538462
17,35.5
15,33
16,33
28,33.6849315068493
19,33
20,33
21,33
25,37.9019607843137
22,33
23,33
24,24
26,33
29,33.5555555555556
27,33
30,39.3157894736842
31,33
33,33
43,36.8888888888889
32,33
34,33
36,33
35,37
37,25
38,33
39,33
40,32.5
41,33
42,31
44,25
45,33
46,33
47,33
48,33
52,25.8235294117647
73,28.72
49,29
59,31
50,33
51,33
53,29
54,27
55,33
56,33
57,29
58,33
60,30
64,29
62,30
61,32
63,31
65,33
66,31
110,28.8928571428571
67,33
82,30.020202020202
68,29
113,29
69,31
70,31
71,31
72,31
74,33
75,33
80,30.3666666666667
76,29
141,30.9111111111111
81,32
77,29
85,26
397,25.9841897233202
78,31
79,31
83,30
88,30
84,26
107,29
124,28.9047619047619
103,28
92,26
86,23.5
87,30
89,19
90,23
91,30
96,30
93,29
94,23
95,31
97,29
98,29
99,23
108,30
100,30
101,33
111,26
102,23
104,29
112,26
105,18
406,32.9388004895961
106,27
116,29
109,29
114,36.0454545454546
120,22
115,31
117,26
139,26
118,26
119,31
123,37
121,30
126,31.4117647058824
274,34.1330049261084
122,30
199,28.0181818181818
125,29
328,35.036379769299
138,35.5714285714286
140,37
127,37
128,35
129,16
130,36
131,36
132,36
162,27.6829268292683
133,24
142,28.0952380952381
198,32.3627450980392
145,29.3333333333333
216,27.8157894736842
134,36
135,31
136,28
137,29
170,29.6785714285714
143,27.2
144,32
146,32.4
147,34
148,24
204,28
149,22
183,31.9148936170213
164,34.5333333333333
150,30.6756756756757
151,34
152,33.7777777777778
153,32
154,31
155,33
156,33
244,29.1140350877193
157,31
158,30
209,30.8224637681159
196,28.6470588235294
261,28.6780821917808
366,28.511013215859
159,32
160,33
161,26
1728,26.8133538251366
163,28
165,29
166,31
167,32
197,26
168,29
169,24
174,38
185,31
171,27
172,26
173,32.6666666666667
260,26.46
175,30
200,29.962962962963
176,27
177,27
178,36
179,34
180,23
213,25.7943925233645
399,26.2377358490566
271,28.3972602739726
181,21
259,28.7407407407407
182,32
184,36
224,26.6666666666667
186,34
202,35.1818181818182
324,30.7611940298508
187,36
188,27
201,37
211,36.25
189,33
190,30
191,29
192,29
193,33
194,38.75
195,28
