PolyID,TreeVolume
2,7.64285714285714
1,9
3,6
6,3.84931506849315
4,4
5,4
7,3
8,5
11,3.94117647058824
9,4
10,4
12,2
13,4
14,8.64102564102564
18,7.75
17,11.3125
15,11
16,5
28,3.82191780821918
19,5
20,5
21,5
25,6.80392156862745
22,5
23,6
24,2
26,10
29,10.7222222222222
27,10
30,8.63157894736842
31,10
33,7.85714285714286
43,5.53703703703704
32,3
34,3
36,2
35,6.2
37,1
38,6
39,7
40,3.125
41,2
42,2
44,1
45,5.5
46,2.8
47,2
48,2
52,1
73,3.26
49,2
59,3.70588235294118
50,5
51,2
53,2.2
54,3
55,5
56,2
57,2
58,3.5
60,3
64,4.36
62,4
61,4
63,5
65,4
66,10
110,6.38265306122449
67,2
82,13.0707070707071
68,6
113,19.6666666666667
69,10
70,9.5
71,5
72,5
74,4
75,2
80,23.9666666666667
76,18
141,5.11111111111111
81,3.22222222222222
77,11
85,2
397,4.03162055335968
78,12
79,10
83,4.5
88,4
84,2
107,25.6785714285714
124,19.1428571428571
103,3
92,4
86,2.75
87,4
89,3
90,16
91,9
96,4
93,2
94,14
95,4
97,3
98,3
99,12
108,2.625
100,2
101,3
111,4
102,9
104,5
112,4
105,2
406,18.6523867809058
106,12
116,4.14285714285714
109,2
114,35
120,9.26666666666667
115,5
117,4
139,4
118,4
119,5
123,19
121,20
126,19
274,34.3497536945813
122,14
199,10.4363636363636
125,3
328,30.2644188110027
138,17.4285714285714
140,10.2857142857143
127,9
128,10.25
129,10
130,14.6666666666667
131,14
132,13
162,2.80487804878049
133,3
142,3.21428571428571
198,33.4705882352941
145,8
216,9.35526315789474
134,12.6666666666667
135,5
136,2
137,3
170,4.26428571428571
143,8.56
144,16
146,15.2
147,13.8571428571429
148,11
204,2.59375
149,3
183,21.5744680851064
164,14.6
150,11.972972972973
151,15.5
152,12.5555555555556
153,14
154,21.5
155,25
156,15
244,7.1140350877193
157,4
158,3
209,12.5036231884058
196,24.4117647058824
261,4.92465753424658
366,7.6079295154185
159,14
160,12.3333333333333
161,4
1728,7.60553278688525
163,11
165,7
166,19
167,7.5
197,4
168,2
169,2
174,35.8888888888889
185,18.8666666666667
171,27
172,5
173,16.3333333333333
260,2.34
175,2
200,9.14814814814815
176,14
177,18
178,16.5
179,27
180,20
213,7.73831775700935
399,2.65660377358491
271,2.04109589041096
181,3
259,5.71604938271605
182,10
184,19
224,11.8333333333333
186,18
202,13.6363636363636
324,37.8656716417911
187,16
188,7
201,16.4230769230769
211,26.125
189,16
190,27
191,16
192,18
193,17
194,16.75
195,6
203,15.4545454545455
205,3
206,2
210,28.2857142857143
207,18
208,6
212,12.5
214,1
400,1.86513994910941
353,1.28784648187633
215,11
223,7.6
217,16
218,25
219,4
573,1.09741060419236
220,14
221,18
222,19
272,25.8333333333333
450,39.9699570815451
225,9
226,9
227,13
228,4
229,2
243,24.7142857142857
230,25.5
231,3
262,13.3684210526316
232,24
233,18
1103,6.94046553267681
242,31.3333333333333
234,26
270,3.34090909090909
235,11.75
236,3
264,9.63157894736842
237,18.5
238,30
239,12.25
240,19.3333333333333
241,10.5833333333333
263,15.4666666666667
283,45.3018867924528
245,10
246,3
398,2.07246376811594
247,1
248,13
249,12
250,18
251,2
252,2
253,11
390,9.22981366459627
266,23.8
265,19.3333333333333
254,18.5
