PolyID,Volumne
2,36
1,36
3,36
6,28
4,28
5,28
7,28
8,89
11,28
9,89
10,89
12,81
13,89
14,112.769230769231
18,140.519230769231
17,123.5
15,86
16,86
28,95.986301369863
19,86
20,86
21,86
25,159.529411764706
22,86
23,86
24,23
26,86
29,94.3333333333333
27,86
30,180.736842105263
31,86
33,86
43,147.166666666667
32,89
34,89
36,79
35,151
37,24
38,89
39,86
40,86
41,79
42,41
44,22
45,81
46,81
47,81
48,81
52,30.2352941176471
73,39.72
49,48
59,47
50,87
51,79
53,36
54,43
55,87
56,79
57,48
58,61
60,52
64,47.76
62,52
61,65
63,44
65,81
66,60
110,50.4642857142857
67,87
82,60.2525252525253
68,73
113,79.8205128205128
69,72.5
70,66.25
71,44
72,44
74,81
75,87
80,69.1333333333333
76,50
141,48.4166666666667
81,52
77,50
85,33
397,40.6316205533597
78,95
79,85
83,55
88,55
84,33
107,69.7857142857143
124,78.5714285714286
103,35
92,29
86,31.25
87,55
89,17
90,46
91,52
96,55
93,48
94,46
95,44
97,57
98,48
99,46
108,40
100,40
101,93
111,29
102,46
104,49
112,28
105,12
406,66.4834761321909
106,89
116,59.2857142857143
109,44
114,97.1818181818182
120,24.5333333333333
115,63
117,29
139,28
118,28
119,63
123,80
121,63
126,70.8235294117647
274,79.8850574712644
122,63
199,51.1090909090909
125,44
328,79.0567879325643
138,82.5714285714286
140,80
127,80
128,78
129,5
130,80
131,80
132,76
162,37.1951219512195
133,31
142,40.9285714285714
198,78.343137254902
145,46.6666666666667
216,40.0131578947368
134,76
135,53
136,40
137,44
170,45.4142857142857
143,45.4
144,67
146,65.6
147,70
148,23
204,40
149,15
183,61.8936170212766
164,81.4666666666667
150,59.5135135135135
151,75
152,72.6666666666667
153,54
154,108
155,74
156,74
244,52.3157894736842
157,53
158,45
209,55.4710144927536
196,44.8823529411765
261,41.6643835616438
366,43.3281938325991
159,67
160,74
161,28
1728,43.8403346994536
163,35
165,41
166,98
167,75
197,29
168,44
169,25
174,217
185,98
171,38
172,63
173,72.3333333333333
260,37.42
175,44
200,55.1851851851852
176,38
177,38
178,80
179,71
180,21
213,36.0093457943925
399,38.4754716981132
271,36.6849315068493
181,15
259,45.1728395061728
182,63
184,111
224,45.6666666666667
186,71
202,75.3181818181818
324,85.384328358209
187,111
188,44
201,80
211,125
189,108
190,75
191,52
192,52
193,64
194,85.25
195,42
203,108
205,36
206,38
210,112
207,68
208,49
212,76
214,32
400,32
353,14.9914712153518
215,43
223,43
217,71.6666666666667
218,71
219,28
573,14.5745992601726
220,53
221,94
222,73
272,94.0277777777778
450,83.8197424892704
225,47.8235294117647
226,53
227,46
228,30
229,7
243,118
230,99
231,36
262,62.2105263157895
232,48
233,86
1103,47.1445837063563
242,118
234,99
270,49
235,68
236,80
264,54.2631578947368
237,48
238,111
239,64.25
240,29
241,68.5
263,81
283,94.6792452830189
245,75
246,36
398,34.1739130434783
247,15
248,53
249,73
250,47
251,38
252,38
253,47
390,47.2919254658385
266,91
265,49
254,85
268,26.8
367,63.9677419354839
255,102
275,29
256,52
315,64.4714285714286
