SIClass,Area,BGC,Var
3,1,BGxh3,Best4-10
3,16834,BWBSdk,Best1-3
3,46596,BWBSdk,Best4-10
3,12,BWBSdk,Ancient
4,19326,BWBSdk,Best1-3
4,25781,BWBSdk,Best4-10
4,1,BWBSdk,Ancient
5,2596,BWBSdk,Best1-3
5,1183,BWBSdk,Best4-10
6,9,BWBSdk,Best1-3
6,16,BWBSdk,Best4-10
7,3,BWBSdk,Best1-3
7,3,BWBSdk,Best4-10
3,26882,BWBSmk,Best1-3
3,158097,BWBSmk,Best4-10
3,6,BWBSmk,Ancient
4,98526,BWBSmk,Best1-3
4,216136,BWBSmk,Best4-10
4,3,BWBSmk,Ancient
5,77640,BWBSmk,Best1-3
5,48898,BWBSmk,Best4-10
5,2,BWBSmk,Ancient
6,7148,BWBSmk,Best1-3
6,1016,BWBSmk,Best4-10
7,2043,BWBSmk,Best1-3
7,125,BWBSmk,Best4-10
3,7761,BWBSmw,Best1-3
3,32298,BWBSmw,Best4-10
3,2,BWBSmw,Ancient
4,29124,BWBSmw,Best1-3
4,67813,BWBSmw,Best4-10
5,4763,BWBSmw,Best1-3
5,2575,BWBSmw,Best4-10
5,1,BWBSmw,Ancient
6,273,BWBSmw,Best1-3
6,74,BWBSmw,Best4-10
7,3,BWBSmw,Best1-3
7,11,BWBSmw,Best4-10
7,1,BWBSmw,Ancient
3,2743,BWBSwk1,Best1-3
3,10060,BWBSwk1,Best4-10
4,2432,BWBSwk1,Best1-3
4,4759,BWBSwk1,Best4-10
5,94,BWBSwk1,Best1-3
5,40,BWBSwk1,Best4-10
6,6,BWBSwk1,Best1-3
6,16,BWBSwk1,Best4-10
7,1,BWBSwk1,Best1-3
3,4822,BWBSwk2,Best1-3
3,11828,BWBSwk2,Best4-10
4,3935,BWBSwk2,Best1-3
4,7003,BWBSwk2,Best4-10
5,119,BWBSwk2,Best1-3
5,72,BWBSwk2,Best4-10
6,2,BWBSwk2,Best1-3
6,3,BWBSwk2,Best4-10
3,1545,BWBSwk3,Best1-3
3,3724,BWBSwk3,Best4-10
4,502,BWBSwk3,Best1-3
4,330,BWBSwk3,Best4-10
3,15,CDFmm,Best1-3
4,196,CDFmm,Best1-3
5,101,CDFmm,Best1-3
7,2,CDFmm,Best1-3
3,4,CMAunp,Best1-3
3,9,CMAunp,Best4-10
4,1,CMAunp,Best4-10
3,612,CWHdm,Best1-3
3,1112,CWHdm,Best4-10
4,1232,CWHdm,Best1-3
4,910,CWHdm,Best4-10
5,2040,CWHdm,Best1-3
5,331,CWHdm,Best4-10
6,201,CWHdm,Best1-3
6,61,CWHdm,Best4-10
7,43,CWHdm,Best1-3
7,24,CWHdm,Best4-10
3,217,CWHds1,Best1-3
3,694,CWHds1,Best4-10
3,1,CWHds1,Ancient
4,585,CWHds1,Best1-3
4,2707,CWHds1,Best4-10
4,18,CWHds1,Ancient
5,1132,CWHds1,Best1-3
5,1652,CWHds1,Best4-10
5,2,CWHds1,Ancient
6,165,CWHds1,Best1-3
6,131,CWHds1,Best4-10
6,3,CWHds1,Ancient
7,30,CWHds1,Best1-3
7,40,CWHds1,Best4-10
3,18,CWHds2,Best1-3
3,410,CWHds2,Best4-10
4,56,CWHds2,Best1-3
4,656,CWHds2,Best4-10
5,93,CWHds2,Best1-3
5,255,CWHds2,Best4-10
6,8,CWHds2,Best4-10
7,3,CWHds2,Best4-10
3,39,CWHmm1,Best1-3
3,246,CWHmm1,Best4-10
3,3,CWHmm1,Ancient
4,145,CWHmm1,Best1-3
4,461,CWHmm1,Best4-10
4,3,CWHmm1,Ancient
5,107,CWHmm1,Best1-3
5,205,CWHmm1,Best4-10
5,4,CWHmm1,Ancient
6,80,CWHmm1,Best1-3
6,105,CWHmm1,Best4-10
7,8,CWHmm1,Best1-3
7,14,CWHmm1,Best4-10
3,60,CWHmm2,Best4-10
4,5,CWHmm2,Best1-3
4,193,CWHmm2,Best4-10
