BGC,SIClass,Area,Var
BAFAunp,3,1,AllForest
BGxh1,3,41,AllForest
BGxh1,4,6,AllForest
BGxh1,5,9,AllForest
BGxh2,3,289,AllForest
BGxh2,4,2,AllForest
BGxh3,3,12,AllForest
BGxw1,3,231,AllForest
BGxw1,4,51,AllForest
BGxw2,3,122,AllForest
BGxw2,4,5,AllForest
BWBSdk,3,864015,AllForest
BWBSdk,4,251701,AllForest
BWBSdk,5,25115,AllForest
BWBSdk,6,1330,AllForest
BWBSdk,7,416,AllForest
BWBSmk,3,2510040,AllForest
BWBSmk,4,1460403,AllForest
BWBSmk,5,336327,AllForest
BWBSmk,6,26363,AllForest
BWBSmk,7,3589,AllForest
BWBSmw,3,468890,AllForest
BWBSmw,4,856985,AllForest
BWBSmw,5,97907,AllForest
BWBSmw,6,8885,AllForest
BWBSmw,7,507,AllForest
BWBSvk,3,3995,AllForest
BWBSvk,4,2716,AllForest
BWBSwk1,3,187404,AllForest
BWBSwk1,4,58954,AllForest
BWBSwk1,5,1943,AllForest
BWBSwk1,6,409,AllForest
BWBSwk1,7,55,AllForest
BWBSwk2,3,131239,AllForest
BWBSwk2,4,67025,AllForest
BWBSwk2,5,5968,AllForest
BWBSwk2,6,1104,AllForest
BWBSwk2,7,27,AllForest
BWBSwk3,3,52391,AllForest
BWBSwk3,4,3947,AllForest
BWBSwk3,5,138,AllForest
BWBSwk3,6,10,AllForest
CDFmm,3,2999,AllForest
CDFmm,4,4136,AllForest
CDFmm,5,8452,AllForest
CDFmm,6,14572,AllForest
CDFmm,7,10842,AllForest
CMAunp,3,756,AllForest
CMAunp,4,146,AllForest
CMAunp,5,24,AllForest
CMAunp,6,2,AllForest
CWHdm,3,12595,AllForest
CWHdm,4,37074,AllForest
CWHdm,5,87224,AllForest
CWHdm,6,81163,AllForest
CWHdm,7,52603,AllForest
CWHds1,3,24521,AllForest
CWHds1,4,67778,AllForest
CWHds1,5,60842,AllForest
CWHds1,6,27963,AllForest
CWHds1,7,13380,AllForest
CWHds2,3,18156,AllForest
CWHds2,4,17237,AllForest
CWHds2,5,9457,AllForest
CWHds2,6,2654,AllForest
CWHds2,7,1449,AllForest
CWHmm1,3,11038,AllForest
CWHmm1,4,13892,AllForest
CWHmm1,5,21125,AllForest
CWHmm1,6,20422,AllForest
CWHmm1,7,12869,AllForest
CWHmm2,3,16296,AllForest
CWHmm2,4,11945,AllForest
CWHmm2,5,9788,AllForest
CWHmm2,6,6420,AllForest
CWHmm2,7,1752,AllForest
CWHms1,3,113144,AllForest
CWHms1,4,134531,AllForest
CWHms1,5,68268,AllForest
CWHms1,6,19249,AllForest
CWHms1,7,4428,AllForest
CWHms2,3,43778,AllForest
CWHms2,4,33894,AllForest
CWHms2,5,20426,AllForest
CWHms2,6,9116,AllForest
CWHms2,7,2506,AllForest
CWHvh1,3,140823,AllForest
CWHvh1,4,72526,AllForest
CWHvh1,5,42797,AllForest
CWHvh1,6,18492,AllForest
CWHvh1,7,9576,AllForest
CWHvh2,3,339330,AllForest
CWHvh2,4,79941,AllForest
CWHvh2,5,22746,AllForest
CWHvh2,6,6086,AllForest
CWHvh2,7,1605,AllForest
CWHvh3,3,137759,AllForest
CWHvh3,4,25156,AllForest
CWHvh3,5,14172,AllForest
CWHvh3,6,7802,AllForest
CWHvh3,7,2227,AllForest
CWHvm1,3,418193,AllForest
CWHvm1,4,350109,AllForest
CWHvm1,5,298718,AllForest
