PolyID,Volume
1,28
2,28
3,28
7,27.8770491803279
4,28
5,34
6,34
8,18.25
11,39.9913793103448
9,25
10,34
12,46
13,46
14,46
15,46
16,15
17,15
18,15
20,15
19,15
21,15
22,15
23,15
24,15
25,15
29,14
26,14
27,14
28,14
30,27
31,13
32,27
33,27
34,27
35,27
36,29
37,29
38,13
39,14
42,28
40,13
41,28
43,13
44,27
45,27
50,63
46,23
48,23
47,23
49,63
51,24.9102564102564
52,40
53,40
54,40
55,40
56,41
57,41
58,14
59,15
60,15
61,15
62,15
63,34
64,34
65,26
66,14.3992248062016
67,14
68,14
71,14
69,14
70,12
72,12
73,12
74,12
75,12
76,12
77,12
78,13
79,27
80,28
81,28
82,29
83,29
84,29
85,29
86,29
91,28
87,28
88,28
89,28
90,28
92,28
93,28
94,31
95,31
100,14.0396825396825
96,14
97,14
98,14
99,14
101,0
102,14
103,59
114,29.2093023255814
104,14
105,13
107,13
106,13
108,13
113,14
109,14
112,59
110,59
111,58
115,58
116,56
119,14
117,91
118,172
120,38
121,46
122,43
123,50
124,20
125,22
126,26
127,31
128,13
129,11
130,11
131,56.3333333333333
132,30
133,30
135,30
134,56
136,30
138,21
137,30
139,30
140,27
141,27
142,26
143,11
144,67
145,67
146,11
147,67
148,66.5
151,27
149,27
150,27
152,29
153,29
154,27
155,38
157,38
158,39
156,13
161,13
159,15
160,33
162,21.1818181818182
163,34
164,10
165,20
166,10.2
167,11
171,10
168,25
169,25
170,25
172,57
173,52
174,57
175,32
176,32
179,56
177,57
178,57
180,57
181,57
183,71
182,57
184,57
185,71
186,22
187,22
188,71
189,18
190,72
191,19
192,51
193,51
194,35
196,33
195,35
197,33
198,33
199,33
200,33
201,22
205,12.4836065573771
202,74
203,34
204,35.6666666666667
206,20
207,20
208,11
209,47
213,47
210,41
211,47
212,13
214,47
215,10
218,24
216,5
217,21
219,24
221,54
220,21
222,54
223,33
224,33
225,33
226,23
227,29.25
228,26
248,24.015873015873
229,23
230,9
231,23.6
232,9
233,23
234,9
235,20
236,23
238,17
237,9
239,23
241,23
240,9
242,31
243,31
244,31
255,26
245,23
250,26
246,26
247,21
251,21
254,23
249,33
252,33
253,21
256,26
257,14
258,23
260,26
259,21
262,23
261,23
263,23
264,21
265,26
266,23
267,21
268,13
269,26
270,13
274,12
271,29
272,25
273,16
275,22
276,10
277,10
278,15
279,13
280,64
281,64
282,23
283,60
286,40
284,50
285,23
287,33
288,33
289,20
290,12
291,26
292,55.7058823529412
293,59
294,27.5
295,28
296,20
297,53
299,12
300,43
298,43
302,12
301,43
304,12
303,28
305,28
306,12
309,12.4444444444444
307,27
308,27
314,11
310,5
311,33
312,25
313,14
315,5
316,5
317,49
318,36
319,36
320,29
321,49
322,29
324,19.0740740740741
323,22
328,23.9444444444444
325,45
326,23
327,45
329,9
333,36.7142857142857
330,41.2
331,23
332,46
342,31.2142857142857
334,40.6666666666667
335,27
336,34.4444444444444
337,27
338,38
339,27
340,38
346,36.2727272727273
341,18
343,38
344,27
347,35.6666666666667
345,36
348,26
351,34.5
349,48
350,72
352,48
360,42.8974358974359
353,23
359,45.25
361,84
354,40
355,40
356,40
357,40
358,48
362,52
364,77
363,57
366,36.5483870967742
365,11
367,36
368,144
369,135
375,32.2352941176471
370,135
371,39
372,49
373,37.5
374,49
376,26.2
377,46
378,33
379,33
380,23
381,88
382,33
383,46.4782608695652
384,69
385,69
386,50
387,55
391,46
388,34
392,75
389,45
390,42
400,13
395,43
393,34
394,43
396,43
397,20
398,27.5
399,43
401,43
410,68.625
402,42
420,32.304347826087
403,56
404,13
405,54.6666666666667
406,35
407,30
408,22
409,15
411,22
412,61
413,61
414,15
415,43
422,47.375
416,23.5
417,41
418,35
419,21
421,43
425,47
423,21
428,27
424,43
426,30
427,31.5
429,14
430,55
431,43
432,75
548,41.8240740740741
443,42
433,47
434,55
435,75
457,40
450,46.4761904761905
436,40
437,46
442,37
438,26
439,14
458,26.5
440,40
444,26
441,26
445,40
446,25
447,40
488,29.1034482758621
451,55.8571428571429
448,42
449,53
452,39
453,40
454,40
455,42
456,24
523,45.4152542372881
521,35.2435897435897
485,45
495,40
459,45
460,56
461,63
462,63
463,24
471,41
464,53
473,14.3333333333333
477,39
465,50
466,65
467,37
468,12
469,54
470,65
472,47.7
502,41.6976744186047
474,18
496,33.5384615384615
483,41.5
475,60
476,53
489,61.8461538461539
484,13
486,57
487,57
478,63
479,33
480,49
481,44
482,49
508,48.3846153846154
490,50
491,34
492,31
493,40
494,49
512,57
497,40
498,32
499,57
500,57
501,54
537,38.5045871559633
524,62.8
503,32
504,57
505,57
506,20
507,54
